State,2016 Estimated Population,2016 Median Household Income
alaska,738566.0,75723.0
arizona,6391343.0,57100.0
arkansas,2786173.0,45907.0
colorado,5008754.0,70566.0
connecticut,3526707.0,75923.0
delaware,950787.0,58046.0
georgia,8150300.0,53527.0
hawaii,1428557.0,72133.0
idaho,1324720.0,56564.0
illinois,2872516.0,61386.0
indiana,4305899.0,56094.0
iowa,2810823.0,59094.0
kansas,1732223.0,56810.0
kentucky,4424357.0,45369.0
louisiana,4183659.0,42196.0
maine,1328762.0,50856.0
maryland,5197665.0,73760.0
massachusetts,6436240.0,72266.0
michigan,9696514.0,57091.0
minnesota,5237709.0,70218.0
mississippi,1383530.0,41099.0
missouri,5768437.0,55016.0
montana,1036405.0,57075.0
nebraska,1721852.0,59374.0
nevada,2940058.0,55431.0
new hampshire,1275170.0,76260.0
new jersey,8747889.0,68468.0
new mexico,1498550.0,48451.0
new york,10621114.0,61437.0
north carolina,6270620.0,53764.0
north dakota,753138.0,60184.0
ohio,8954617.0,53985.0
oklahoma,3744169.0,50943.0
oregon,3707053.0,59135.0
pennsylvania,11822238.0,60979.0
rhode island,1056426.0,61528.0
south carolina,4794988.0,54336.0
south dakota,789651.0,57450.0
tennessee,6454266.0,51344.0
texas,27089093.0,58146.0
utah,2801231.0,67481.0
vermont,348314.0,60837.0
virginia,8266632.0,66451.0
washington,6483494.0,70310.0
west virginia,1251283.0,44354.0
wisconsin,5643675.0,59817.0
wyoming,549770.0,57829.0
